period,brand,asin,channel,actor_type,content_format,promotion_type,landing_page,engagement,user_feedback,evidence_url,captured_at,confidence,source_type,notes,next_action
2026-W26,Yeaki,,youtube,amazon_affiliate,review_overview,amazon_or_affiliate_link,Amazon,305 views,,https://www.youtube.com/watch?v=RVkjVbX5cMg,2026-06-22,Medium,yt-dlp_search,"Title confirms Yeaki Vlogging Kit; description says latest price and AMZN link.","Open video page to confirm publish date, full disclosure language, final Amazon ASIN."
2026-W26,Yeaki,,youtube,amazon_affiliate,feature_overview,amazon_link,Amazon,313 views,,https://www.youtube.com/watch?v=CUjZA_Dz27I,2026-06-22,Medium,yt-dlp_search,"Title confirms Yeaki Vlogging Kit; description says View on Amazon.","Open video page to confirm final ASIN and whether channel is affiliate/review automation."
2026-W26,Yeaki,,youtube,paid_or_affiliate,review_overview,amazon_paid_link,Amazon,573 views,,https://www.youtube.com/watch?v=dz6pzMJatME,2026-06-22,High,yt-dlp_search,"Description snippet includes Amazon link, paid link and #ad.","Open video page to capture full disclosure and final ASIN."
2026-W26,Yeaki,B0DWJH4BHS,youtube,platform_auto_or_shopping,product_overview,amazon_dp,Amazon,77 views,,https://www.youtube.com/watch?v=LleizmTCfg8,2026-06-22,High,yt-dlp_search,"Amazon Shopping result; description snippet includes amazon.com/dp/B0DWJH4BHS.","Use as ASIN-level landing evidence, not as brand social creativity evidence."
2026-W26,Yeaki,,youtube,amazon_affiliate,review_testimonial,affiliate_link,Amazon,1948 views,,https://www.youtube.com/watch?v=EygdIJGe-E8,2026-06-22,Medium,yt-dlp_search,"Title positions Yeaki against other phone tripods; description includes geni.us affiliate-style link.","Open video to extract hook and comparison dimensions."
2026-W26,yAyusi,,youtube,amazon_affiliate,review_demo,affiliate_link,Amazon,16080 views,,https://www.youtube.com/watch?v=myPYfwE98ts,2026-06-22,High,yt-dlp_search,"Title confirms yAyusi auto face tracking tripod; description includes urlgeni.us Amazon link.","Open video to extract demo scenes and comment feedback."
2026-W26,yAyusi,,youtube,amazon_affiliate,review_demo,amazon_affiliate,Amazon,4294 views,,https://www.youtube.com/watch?v=ImPS0ZSm14s,2026-06-22,High,yt-dlp_search,"Title confirms yAyusi; description snippet includes amzn.to and Amazon affiliate disclosure.","Open video to confirm ASIN and whether content is duplicate/same creator series."
2026-W26,yAyusi,,youtube,amazon_affiliate,review_demo,amazon_affiliate,Amazon,1393 views,,https://www.youtube.com/watch?v=9da-MXTcVLM,2026-06-22,High,yt-dlp_search,"Same creator/title family as another yAyusi result; description includes amzn.to and affiliate disclosure.","Treat as repeated affiliate distribution, not independent proof of many KOLs."
2026-W26,yAyusi,,youtube,amazon_affiliate,problem_solution_hook,amazon_link,Amazon,546 views,,https://www.youtube.com/watch?v=FtU3aKrB-kE,2026-06-22,Medium,yt-dlp_search,"Title uses static-shots pain point and yAyusi 360 auto tracking hook; description includes amzn.to.","Open video to capture exact hook and final ASIN."
2026-W26,YUANRAN,,youtube,organic_or_affiliate_unknown,review_pros_cons,unknown,unknown,58 views,,https://www.youtube.com/watch?v=ySh9uIsoONE,2026-06-22,Medium,yt-dlp_search,"Title confirms YUANRAN Content Creator Vlogging Kit with Face Tracking Tripod Review; low visible views.","Open video to confirm whether there is an Amazon link and whether review is paid/affiliate."
2026-W26,DMYWB,,youtube,not_confirmed,search_result_noise,unknown,unknown,,,ytsearch5:DMYWB vlogging kit content creator essentials,2026-06-22,Low,yt-dlp_search,"Top 5 YouTube search results did not confirm DMYWB in title/description snippets.","Verify by ASIN-specific search or Amazon page offsite links before counting YouTube presence."
2026-W26,yAyusi,,tiktok,organic_or_affiliate_unknown,short_video_hashtag_demo,amazon_find_context,Amazon,38 likes from legacy search snippet,,https://www.tiktok.com/@anita_love310/video/7416137814884027679,2026-06-22,Medium,tiktok_oembed,"oEmbed confirms author Anita; caption includes #yayusi, ES-B180, #facetracking, #tripod.","Open TikTok page to capture current likes/comments and whether product card or profile link exists."
2026-W26,yAyusi,,tiktok,organic_or_affiliate_unknown,amazon_finds_demo,amazon_find_context,Amazon,1801 likes from legacy search snippet,,https://www.tiktok.com/@countrymile_/video/7470390177295355143,2026-06-22,Medium,tiktok_oembed,"oEmbed confirms Country Mile; caption says yAyusi Auto Face Tracking Tripod 360 Rotation with Light and #amazonfind.","Open TikTok page to confirm current engagement and comment feedback."
2026-W26,Yeaki,,tiktok,organic_ugc,ugc_review,amazon_find_context,Amazon,not available from oEmbed,,https://www.tiktok.com/@trippinwtrish/video/7518805726425369887,2026-06-22,Medium,tiktok_oembed,"oEmbed confirms Yeaki 71 Auto Face Tracking Tripod; caption highlights content creators, 360 face tracking, rechargeable remote, Galaxy S25 Ultra, ring light compatibility, #amazonfinds and #ugc.","Use as creative copy evidence; open page for current engagement and comments."
2026-W26,Yeaki,,tiktok,organic_or_affiliate_unknown,amazon_finds_unboxing,amazon_find_context,Amazon,29 likes from legacy search snippet,,https://www.tiktok.com/@4my7angels/video/7593867491445640503,2026-06-22,Medium,tiktok_oembed,"oEmbed confirms Yeaki 71 360 rotating face tracking ring lights and @Amazon; hashtags include #amazonfind and #tripod.","Open TikTok page to verify paid partnership claim from legacy note and capture product card."
